Comment,Designator,Footprint,JLCPCB Part #?optional?,
10µF,"C1, C2, C27, C40, C72, C75, C85, C90, C96, C97, C98, C123, C124, C127, C129, C130, C138, C165, C167, ",Custom:C_0603,,C237435
100nF,"C3, C4, C5, C7, C9, C11, C14, C17, C19, C20, C23, C34, C42, C43, C44, C45, C48, C50, C52, C54, C62, C86, C87, C91, C93, C94, C95, C99, C100, C102, C103, C111, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C125, C126, C128, C131, C132, C136, C137, C139, C142, C143, C146, C150, C151, C154, C155, C157, C158, C159, C164, C166, ",Custom:C_0603,,C14663
2.2µF,"C12, C13, C55, C56, C57, C58, ",Custom:C_0603,,C516003
22nF,"C15, C16, ",Custom:C_0603,,C21122
10nF,"C21, C47, C49, C76, C77, C78, C83, C84, C144, C147, C148, C162, C163, ",Custom:C_0603,,C57112
1nF,"C22, ",Custom:C_0603,,C1588
220pF,"C24, C25, ",Custom:C_0603,,C1603
220nF,"C28, C29, ",Custom:C_0603,,C21120
1.5nF,"C30, C31, ",Custom:C_0603,,C1595
3.3nF,"C32, ",Custom:C_0603,,C1613
1µF,"C33, C46, C73, C74, ",Custom:C_0603,,C466771
680pF,"C36, C37, C38, C39, ",Custom:C_0603,,C1630
150pF,"C59, C61, ",Custom:C_0603,,C1594
22µF,"C68, C69, C70, C71, C101, C104, C105, C106, C107, C109, C110, C112, C133, C134, ",Custom:C_0603,,C6119868
47µF,"C79, C80, C81, C82, C89, C141, ",Custom:C_0603,,C178330
33nF,"C152, ",Custom:C_0603,,C21117
330pF,"C160, C168, ",Custom:C_0603,,C1664
68pF,"C169, C170, C171, C172, ",Custom:C_0603,,C62782
MBR0520L,"D1, D2, D4, ",Custom:D_SOD_123,,C5563735
ESD7351XV2T1G,"D6, D7, D8, D9, D14, D15, D18, D19, D20, D22, D28, D29, ",Custom:D_SOD_523,,C2912559
LESD5D5.0CT1G,"D23, D24, D25, ",Custom:D_SOD_523,,C383211
DMN65D8L,"Q1, Q2, Q3, Q4, Q7, Q8, ",Custom:T_SOT23,,C155341
IRFTS9342TRPBF,"Q5, ",Custom:IC_SOT23-6,,C538060
IRFTS8342TRPBF,"Q6, ",Custom:IC_SOT23-6,,C538059
100k?,"R1, R3, R54, R55, ",Custom:R_0603,,C25803
0?,"R5, R8, R19, R44, R52, R60, R64, R67, R72, R76, R77, R78, R79, R80, R103, R107, R108, R109, R110, R111, R112, R113, R114, R118, R119, R120, R126, ",Custom:R_0603,,C3016185
20k?,"R6, ",Custom:R_0603,,C4184
1k?,"R7, R16, R17, R53, R74, R75, R88, R92, R93, R94, R95, R96, R97, R100, R101, ",Custom:R_0603,,C21190
5.1k?,"R9, R10, R11, R56, R57, R121, ",Custom:R_0603,,C23186
10k?,"R12, R14, R27, R28, R41, R42, R43, R81, R87, R104, R105, ",Custom:R_0603,,C25804
50?,"R20, R21, R90, R122, ",Custom:R_0603,,C2828634
68?,"R23, ",Custom:R_0603,,C352297
2k?,"R24, R25, ",Custom:R_0603,,C22975
2.2k?,"R26, R58, ",Custom:R_0603,,C4190
3.9k?,"R29, R30, R31, R32, R35, R36, R39, R40, ",Custom:R_0603,,C23018
15k?,"R33, R34, R37, R38, ",Custom:R_0603,,C22809
3.57k?,"R45, R47, ",Custom:R_0603,,C218009
1.15k?,"R46, R48, ",Custom:R_0603,,C332111
10?,"R49, ",Custom:R_0603,,C22859
4.7k?,"R50, R62, R66, R68, R69, R82, R84, R85, R89, R91, R123, R124, R125, R127, R128, R131, R132, ",Custom:R_0603,,C23162
180?,"R51, ",Custom:R_0603,,C137786
1.2k?,"R59, R63, ",Custom:R_0603,,C22765
100?,"R61, R65, R83, R86, R98, R99, R106, ",Custom:R_0603,,C269700
22.1k?,"R70, ",Custom:R_0603,,C137768
47.5k?,"R73, ",Custom:R_0603,,C23061
33?,"R102, R115, R116, R117, ",Custom:R_0603,,C23140
68k?,"R129, R130, ",Custom:R_0603,,C23231
YC248-JR-073K3L,"RN1, RN2, RN3, RN4, RN5, RN6, RN7, RN8, ",Custom:R_ARR_1606_CONVEX,,C874630
TS472IQT,"U3, ",Custom:IC_QFN-24_EP_4X4,,C155583
ADA4940-2ACPZ-R7,"U5, U6, ",Custom:IC_QFN-24_LFCSP_EP_4X4,,C515889
TPS7A9201DSKT,"U7, U8, ",Custom:IC_SON-10_EP_2.5X2.5,,C882405
MIC29502WU,"U11, ",Custom:IC_TO263-5,,C632747
CP2102N-A02-GQFN28,"U12, ",Custom:IC_QFN-28_EP_5x5,,C964632
ESP32-WROOM-32U,"U22, ",Custom:IC_ESP32-WROOM32U,,C701346
SN74LVC1G32DBVR,"U25, ",Custom:IC_SOT23-5,,C10096
SN74LVC1G14DBVR,"U26, U27, ",Custom:IC_SOT23-5,,C434069
