"Source:","C:\Users\kharp\Desktop\School\2024\F2024\ELEC4498-CapstoneII\CAD\Ultrasonic Sound Steering - Driver Rev. C\Ultrasonic Sound Steering - Driver Rev. C.kicad_sch"
"Date:","3/31/2024 6:22:24 PM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","221"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C3, C5, C7, C9, C11, C13, C15, C17, C19, C21, C23, C25, C27, C29, C31, C33, C35, C37, C39, C41, C43, C45, C47, C49, C51, C53, C55, C57, C59, C61, C63, ","32","4.7µF","C_Small","Custom:C_0603","Unpolarized capacitor, small symbol",""
"C2, C4, C6, C8, C10, C12, C14, C16, C18, C20, C22, C24, C26, C28, C30, C32, C34, C36, C38, C40, C42, C44, C46, C48, C50, C52, C54, C56, C58, C60, C62, C64, C67, C73, C74, C75, C80, C86, ","38","100nF","C","Custom:C_0603","Unpolarized capacitor",""
"C65, C66, C82, C83, C87, ","5","1µF","C","Custom:C_0603","Unpolarized capacitor",""
"C76, C84, ","2","100pF","C","Custom:C_0603","Unpolarized capacitor",""
"C77, ","1","47nF","C","Custom:C_0603","Unpolarized capacitor",""
"C79, ","1","10µF","C","Custom:C_0603","Unpolarized capacitor",""
"D2, ","1","BAT54H,115","D_Schottky","Custom:D_SOD_123F","Schottky diode",""
"D5, ","1","LS56","D_Schottky","Custom:D_DO-221AC","Schottky diode",""
"F1, ","1","0157003.DR","015702.5DR","Custom:F_0157_SMD2","",""
"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J30, J31, J32, J33, J34, J35, J36, J37, J38, J39, J40, J41, J42, J43, J44, J45, J46, J47, J48, J49, J50, J51, J52, J53, J54, J55, J56, J57, J58, J59, J60, J61, J62, J63, J64, ","64","MSO-P1040H07T","MSO-P1040H07T_17","Custom:TDR_MSO-P1040H07T","",""
"L2, ","1","74439346100","L","Custom:L_SMD2_WURTH_6.45x6.45x5.8H","Inductor",""
"Q1, Q2, Q4, Q5, Q6, ","5","DMN65D8L","2N7002","Custom:T_SOT23","0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23",""
"Q3, ","1","DMP3099L","DMP3099L_1","Custom:T_SOT23","",""
"R1, ","1","1.2kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R2, R11, R15, R22, ","4","0Ω","R_US","Custom:R_0603","Resistor, US symbol",""
"R3, R8, R16, R27, R32, ","5","100Ω","R_US","Custom:R_0603","Resistor, US symbol",""
"R4, R7, R12, R13, R19, R20, R26, R28, R31, R33, R34, R35, ","12","4.7kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R5, R6, R30, ","3","10kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R10, R14, ","2","180Ω","R_US","Custom:R_0603","Resistor, US symbol",""
"R17, ","1","20kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R18, ","1","2.55kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R24, ","1","78.7kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R29, ","1","150kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"U1, U2, U3, U4, U5, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, ","32","MIC4127","MIC4127","Custom:IC_MSOP-8_3x3mm_P0.65_EP_1.95x2.15_TV","",""
"U33, ","1","SN74LVC1G14DBVR","74LVC1G14_1","Custom:IC_SOT23-5","Single Schmitt NOT Gate, Low-Voltage CMOS",""
"U34, ","1","KTS1605EUB-1","SIP32510DT-T1-GE3","Custom:IC_WLCSP-6_0.5P","",""
"U35, ","1","AD5272BRMZ-50-RL7","AD5272BRMZ-100-RL7_1","Custom:IC_MSOP-10_0.65P","",""
"U36, ","1","TPS55340RTER","TPS55340RTER","Custom:IC_WQFN-16_EP_3x3","",""
"U38, ","1","SN74LVC1G02DBVR","74AHC1G02","Custom:IC_SOT23-5","Single NOR Gate, Low-Voltage CMOS",""
